Edad,HoraHecho
76,12:35:00
9,03:30:00
57,12:20:00
60,12:00:00
6,12:00:00
3,12:00:00
35,10:00:00
27,21:00:00
27,16:15:00
58,13:45:00
22,02:30:00
44,10:50:00
23,23:00:00
55,10:30:00
16,14:30:00
30,15:00:00
40,19:30:00
21,06:10:00
27,14:30:00
22,18:15:00
26,19:00:00
34,20:00:00
20,18:30:00
46,19:30:00
31,19:20:00
34,22:15:00
24,21:45:00
43,22:30:00
27,23:00:00
77,07:50:00
32,00:15:00
22,12:25:00
30,05:20:00
30,08:00:00
28,22:53:00
31,11:00:00
21,09:30:00
66,20:00:00
51,12:00:00
25,01:00:00
64,16:00:00
18,04:00:00
43,06:00:00
38,16:20:00
30,22:30:00
56,22:30:00
26,09:00:00
28,04:00:00
44,19:00:00
26,15:30:00
35,15:30:00
37,11:00:00
35,13:00:00
24,20:30:00
43,21:55:00
26,23:45:00
31,22:30:00
35,07:15:00
19,22:00:00
46,14:00:00
14,03:30:00
25,20:00:00
27,23:30:00
32,18:00:00
13,07:30:00
33,11:30:00
65,17:56:00
11,12:00:00
34,16:30:00
27,21:46:00
24,01:35:00
33,00:00:00
19,05:00:00
11,11:30:00
13,11:30:00
41,NULL
71,12:00:00
26,16:30:00
23,14:00:00
37,08:30:00
36,23:30:00
36,22:00:00
29,17:00:00
19,21:20:00
51,01:30:00
49,12:30:00
41,20:30:00
14,12:00:00
24,19:22:00
20,14:40:00
27,14:30:00
37,17:00:00
35,20:30:00
20,15:30:00
39,15:30:00
44,13:00:00
13,13:00:00
17,23:00:00
28,21:00:00
77,18:05:00
32,05:00:00
14,23:00:00
60,17:00:00
35,20:00:00
38,09:30:00
21,22:00:00
78,09:34:00
44,10:00:00
31,18:30:00
22,12:30:00
41,15:00:00
41,13:20:00
59,03:00:00
42,10:00:00
17,10:00:00
6,14:00:00
22,22:15:00
62,16:20:00
33,14:50:00
27,17:30:00
51,20:30:00
43,13:30:00
58,12:15:00
19,18:00:00
4,12:00:00
36,22:00:00
